id,tournament_id,match_id,duel_number,duel_format,time_utc,custom_time,player_1_id,player_2_id,status,created_by
20250321-86876169-88036835,Friendly-Matches,20250321CHLARG,1,Bo3,21/03/2025 23:00:00,0,86876169,88036835,Planned,84375106
20250321-96555641-85760461,Friendly-Matches,20250321CHLARG,2,Bo3,21/03/2025 23:00:00,0,96555641,85760461,Planned,84375106
20250321-95038246-89126731,Friendly-Matches,20250321CHLARG,3,Bo3,21/03/2025 23:00:00,0,95038246,89126731,Planned,84375106
20250321-94283048-94367589,Friendly-Matches,20250321CHLARG,4,Bo3,21/03/2025 23:00:00,0,94283048,94367589,Planned,84375106
20250321-96289625-96054578,Friendly-Matches,20250321CHLARG,5,Bo3,21/03/2025 23:00:00,0,96289625,96054578,Planned,84375106
20250321-96325168-85638598,Friendly-Matches,20250321CHLARG,6,Bo3,21/03/2025 23:00:00,0,96325168,85638598,Planned,84375106
20250320-94373811-36269683,Friendly-Matches,20250320UKRHUN,1,Bo3,20/03/2025 19:00:00,0,94373811,36269683,Planned,84375106
20250320-84841041-84349374,Friendly-Matches,20250320UKRHUN,2,Bo3,20/03/2025 19:00:00,0,84841041,84349374,Planned,84375106
20250320-41973045-85203511,Friendly-Matches,20250320UKRHUN,3,Bo3,20/03/2025 19:00:00,0,41973045,85203511,Planned,84375106
20250320-96490976-90515417,Friendly-Matches,20250320UKRHUN,4,Bo3,20/03/2025 19:00:00,0,96490976,90515417,Planned,84375106
20250320-93631741-85804056,Friendly-Matches,20250320UKRHUN,5,Bo3,20/03/2025 19:00:00,0,93631741,85804056,Planned,84375106
